codigo;nombre;precio_compra;precio_unitario;id_proveedor
000310210M;Cinta tela blanca 9.14 mts. ajec;153;110027.13;3
0003208-1510;Cinta aisladora esp 0.015mm 10m negra;5;1002.25;3
0003209-1920;Cinta aisladora esp 0.018mm 20m negra;9;4494.6;3
0004KD39364;Perilla de velador kalop negra;62;41086.44;3
0004KD40100;Mod.kalop punto blanco;715;361486.45;3
0004KD40115;Mod.kalop punto comb.blanco;114;83140.37;3
0004KD40245;Mod.kalop toma c/n comb.blanco;1004;446062.84;3
0004KD40246;Mod.kalop toma c/n comb.negro;98;42083.09;3
0004KD40570;Mod.kalop tapon ciego blanco;4735;274454.24;3
0004KD40702;Bastidor 3 bocas linea jonica y civil;2348;565371.91;3
0004KD40710;Tapa 3 bocas rect.civil blanco;3500;785724.14;3
0004KD44211;Ficha 3 patas macho blanco k3 kalop;163;66170.83;3
0004KD44213;Ficha 3 patas macho negro k3 kalop;1146;459354.97;3
0004KD44222;Ficha 3 patas macho negra heavy duty kalop;13;7514,00;3
0004KD44251;Ficha 3 patas hembra blanco kh kalop;42;21857.91;3
0004KD44253;Ficha 3 patas hembra negro kh kalop;1043;461849.8;3
0004KD48251;Soporte armado con toma c/n.;44;25462.27;3
0004KL02472;Caja para termicas  ext s/p. 2 mod. gris;2;1435.77;3
0004KL02473;Caja para termicas  ext s/p. 4 mod. gris;1;796.26;3
0004KL06001;Caja de 100 grampas kalop nº5;1;1080.11;3
0004KL06002;Caja de 100 grampas kalop nº8;3;2858.43;3
0004KL06003;Caja de 50 grampas kalop nº10;6;4528.81;3
0004KL06004;Caja de 20 grampas kalop nº12;1;801.87;3
0004KL06006;Caja de 20 grampas kalop nº16;1;580.99;3
0004KL06010;Caja de 50 grampas kalop coaxil negro;4;2677.93;3
0004KL06012;Caja de 50 grampas kalop coaxil negro rg6;1;795.29;3
0004KL29110N;Cinta pasacable profesional 10m;2;4465.82;3
0004KL29510;Cinta Helicoidal HWork 10m;4;14134.78;3
0004KL39652;Toma ext.kalop combinado Linea Tekna;82;51371.93;3
0004KL39653;Toma doble ext.kalop combinado Linea Tekna;67;83494.95;3
0004KL39654;Llave 1 punto+toma ext.kalop comb. Linea Tekna;7;7773.47;3
0004KL40100;Interrup. unip. simp.bco(1Caja*60.u/8);10;5180;3
0004KL40101;Mod.kalop punto negro;110;56669.88;3
0004KL40105;Mod.kalop doble punto tecla normal blanco;3;3715.63;3
0004KL40106;Mod.kalop doble punto tecla normal negro;3;4978.97;3
0004KL40116;Mod.kalop punto comb.negro;7;5291.84;3
0004KL40120;Mod.kalop doble comb.tecla normal blanco;19;38732.42;3
0004KL40123;Media Tecla combinada bca(1ca*20u/16);2;2582.12;3
0004KL40123P;Mod.kalop teclon pulsador blanco;3;2732.51;3
0004KL40123S;Mod.kalop 1/2 teclon simple blanco;18;13058.95;3
0004KL40123T;Mod.kalop teclon simple blanco;12;9150.83;3
0004KL40124S;Mod.kalop 1/2 teclon simple negro;2;1575.53;3
0004KL40124T;Mod.kalop teclon simple negro;9;7166.88;3
0004KL40126;Mod.kalop 1/2 teclon combinado blanco;10;8760.49;4
0004KL40126T;Mod.kalop teclon combinado blanco;27;30214.42;4
0004KL40127;Mod.kalop 1/2 teclon combinado negro;10;9457.48;4
0004KL40130;Mod.kalop pulsador blanco;8;5269.87;4
0004KL40180;Mod.kalop punto comb.bipolar blanco;29;48210.33;4
0004KL40181;Mod.kalop punto comb.bipolar negro;1;1903.55;4
0004KL40190;Mod.kalop int.bipolar 3 pos. blanco;1;2867.38;4
0004KL40195;Mod.kalop int.tarjeta hotelera;9;19721.21;4
0004KL40201;Lampara neon negra;9;3739.71;4
0004KL40208;Inhibidor de destellos;1;1456.93;4
0004KL40235;Mod.kalop toma c/n 20 amp.blanco;102;127161.92;4
0004KL40245;Mod.kalop toma c/n iram 2071 blanco;263;125179.41;4
0004KL40245EN;Mod.kalop toma c/n comb.rojo;10;6475;4
0004KL40246;Mod.kalop toma c/n iram 2071 negro;76;44905.45;4
0004KL40291;Mod.kalop toma prolong.catv pin fino blanco;5;2814.75;4
0004KL40292;Mod.kalop toma prolong.catv pin fino negro;3;2180.79;4
0004KL40296;Mod.kalop tv pin fino negro;1;1527.94;4
0004KL40321;Mod.kalop tel.usa rj11 blanco;5;4245.81;4
0004KL40322;Mod.kalop tel.usa rj11 negro;1;801.99;4
0004KL40570;Tapon ciego blanco sist.mod(1ca*120u/8);20;1400;4
0004KL40571;Mod.kalop tapon ciego grafito;302;20889.06;4
0004KL40580;Adaptador din 1 mod.;8;1633.78;4
0004KL40615;Tapa bastidor donna 3 mod.;2;541.54;4
0004KL40702;Bastidor unico 3mod.sist.mod.(1ca*60u);15;3937.5;4
0004KL40707;Bastidor mignon;53;9244.26;4
0004KL40713;Tapa Civil ciega bca c/bast(1ca.*30bol);16;8675.72;4
0004KL41580;Tapa 3 mod. zen concept madera;1;1331.59;4
0004KL41583T;Conj. teclon comb. zen concept coctel;1;2270.05;4
0004KL41588;Tapa 3 mod. zen concept pinceladas;5;4405.99;4
0004KL41588T;Conj. teclon comb. zen concept pinceladas;1;2826.1;4
0004KL41621T;Conj.Teclon comb.Zen Concept Love(1ca*5b;1;2826.1;4
0004KL42003;Caja ip40 1 modulo gris;3;3227.91;4
0004KL42013;Caja ip40 2 modulos gris;11;16098.55;4
0004KL42023;Caja ip40 4 modulos gris;50;78556.92;4
0004KL42213;Caja ip55 tapa transp.2 modulos gris;13;32077.49;4
0004KL42403;Tapa 3 modulos ip55 p/caja 10x5 blanco;21;36612.27;4
0004KL42413;Caja ip55 c/membrana 3 modulos gris;23;68060.03;4
0004KL44173;Ficha velador 10A blanca;2;553.29;4
0004KL48000;Ficha industrial 2x16 kalop;16;22919.4;4
0004KL48001;Ficha industrial 2x16+n kalop;2;2924.55;4
0004KL48002;Ficha industrial 3x16 kalop;6;10804.44;4
0004KL48003;Ficha industrial 3x16+n kalop;53;87384.06;4
0004KL48010;Ficha industrial 2x32 kalop;0;0;4
0004KL48011;Ficha industrial 2x32+n kalop;1;2011.37;4
0004KL48012;Ficha industrial 3x32 kalop;1;2415.4;4
0004KL48013;Ficha industrial 3x32+n kalop;23;64376.83;4
0004KL48040;Base industrial 2x16 kalop;18;24153.62;4
0004KL48042;Base industrial 3x16 kalop;6;9692.11;4
0004KL48043;Base industrial 3x16+n kalop;37;63348.26;4
0004KL48050;Base industrial 2x32 kalop;1;1550.11;4
0004KL48051;Base industrial 2x32+n kalop;1;2029.7;4
0004KL48052;Base industrial 3x32 kalop;1;1888.17;4
0004KL48053;Base industrial 3x32+n kalop;28;61689.36;4
0004KL48201;Caja caps16A.t/tierra azul(1caja*10u./8);9;14009.12;4
0004KL48251;Soporte armado con toma c/n. iram 2071;252;142740.68;4
0004KL48252;Soporte armado con 1 punto;9;10656.35;4
0004KL48880;Caja capsulada para base kalop 16a.vacia;212;225617.73;4
0004KL48881;Caja capsulada para base kalop 32a.vacia;19;24214.41;4
0004KL48885;Caja capsulada tablero para base 16a.;70;66491.44;4
0004KL48886;Caja capsulada tablero para base 32a.;9;11426.21;4
0004KS39365;Perilla torpedo pulsador kalop;1;1070.05;4
0004KS39650;Llave 1 punto ext.kalop  Linea Tekna;68;36970.2;4
0004KS39651;Llave 2 puntos ext.kalop Linea Tekna;4;3437.1;4
0004KS39652;Toma ext.kalop normalizado Linea Tekna;158;105898.77;4
0004KS39653;Toma doble ext.kalop normalizado Linea Tekna;80;98849.74;4
0004KS39654;Llave 1 punto+toma ext.kalop iram Linea Tekna;22;25501.78;4
0004KS39657;Pulsador ext.kalop Linea Tekna;29;15206.45;4
0004KS39658;Llave 1 punto combinacion ext.kalop Linea Tekna;1;616.94;4
0004KS39660;Toma 20A 250V exterior kalop;38;36890.84;4
0004KS40236;Mod.kalop toma c/n 20 amp.negro;13;13070.15;4
0004KS40251;Mod.kalop toma c/n doble blanco con bastidor;87;112850.98;4
0004KS40255;Mod.kalop toma c/n doble blanco;617;719549.45;4
0004KS40256;Mod.kalop toma c/n doble negro;156;159571.62;4
0004KS40266;Mod.kalop toma 1 1/2 modulo blanco 10a;2;1353.28;4
0004KS40339;Mod.kalop pc rj45 blanco;16;40477.79;4
0004KS40466;Mod.kalop reg.luz Led Dim 220V negro;3;33122.71;4
0004KS40490;Mod.kalop toma doble usb blanco;146;1141591.17;4
0004KS40491;Mod.kalop toma doble usb negro;8;62607.64;4
0004KS40711;Tapa 3 bocas rect.civil grafito;178;34517.07;4
0004KS40713;Tapa ciega civil blanca;20;5942.31;4
0004KS40720;Tapa 3 bocas rect.civil gold;9;11596.45;4
0004KS40724;Tapa 3 bocas rect.civil gris pretoria;7;9831.6;4
0004KS40730;Tapa 1 boca mign.civil blanco;45;10342.93;4
0004KS40731;Tapa 1 boca mign.civil negro;9;2362.13;4
0004KS40816;Tapa 3 bocas rect.jonica grafito;7;2049.55;4
0004KS41510;Tapa 3 mod. zen basic blanca;225;68018.53;4
0004KS41511;Tapa 3 mod. zen basic negra;119;36970.24;4
0004KS41532;Tapa 3 mod. zen metal oro;45;57188.21;4
0004KS41533;Tapa 3 mod. zen metal bronce;1;1288.24;4
0004KS41541;Tapa 3 mod. zen colors celeste;2;3399.48;4
0004KS41544;Tapa 3 mod. zen colors naranja;9;11004.39;4
0004KS41547;Tapa 3 mod. zen colors gris;1;1226.47;4
0004KS44201;Ficha 2 patas chatas macho blanco linea k2;1;341.72;4
0004KS44203;Ficha 2 patas chatas macho negro linea k2;2;548.04;4
0004KS44620;Ficha macho 3 perno chato kalop 20a;14;14546.83;4
00061601LITIO-LED;Sist. autonomo p/led 220v c/bateria de litio;16;327505.28;1
